Title,Oscar Year,US Release Date,Screener Release,Cam Leak,Telesync Leak,"Telecine, R5, or PPV Leak",Screener Leak,Retail DVD-BluRay Leak,US Release to First Leak,US Release to Screener Leak,Screener Release to Screener Leak,Ceremony Date,Screener Leaked by Oscar Night?,Screener/Retail DVD Leaked by Oscar Night?,US Release to DVD Leak,US Release To Oscars,Oscars To Leak
A Better Life,2012,6/24/2011,9/8/2011,,,,,10/6/2011,104,,,2/26/2012,No,Yes,104,247,143
A Cat in Paris,2012,4/24/2011,,,,,,12/8/2011,228,,,2/26/2012,No,Yes,228,308,80
A Separation,2012,12/30/2011,12/19/2011,,,,,12/20/2011,-10,,,2/26/2012,No,Yes,-10,58,68
Albert Nobbs,2012,1/27/2012,11/22/2011,,,,11/23/2011,,-65,-65,1,2/26/2012,Yes,Yes,,30,95
Drive,2012,9/16/2011,11/22/2011,,,,9/25/2011,10/17/2011,9,9,-58,2/26/2012,Yes,Yes,31,163,132
Anonymous,2012,10/28/2011,12/13/2011,,,,,1/20/2012,84,,,2/26/2012,No,Yes,84,121,37
Beginners,2012,6/3/2011,11/15/2011,,,,,10/31/2011,150,,,2/26/2012,No,Yes,150,268,118
Bridesmaids,2012,5/13/2011,12/13/2011,,6/27/2011,8/7/2011,,9/6/2011,45,,,2/26/2012,No,Yes,116,289,173
Chico & Rita,2012,9/4/2010,,,,,,6/12/2011,281,,,2/26/2012,No,Yes,281,540,259
Harry Potter and the Deathly Hallows: Part Two,2012,7/15/2011,11/22/2011,,7/15/2011,,,10/18/2011,0,,,2/26/2012,No,Yes,95,226,131
Hugo,2012,11/23/2011,12/13/2011,12/11/2011,,,,,18,,,2/26/2012,No,No,,95,77
Jane Eyre,2012,3/11/2011,11/15/2011,,,,,8/2/2011,144,,,2/26/2012,No,Yes,144,352,208
Kung Fu Panda 2,2012,5/27/2011,12/8/2011,,5/28/2011,,,10/14/2011,1,,,2/26/2012,No,Yes,140,275,135
Margin Call,2012,10/21/2011,11/23/2011,,,10/23/2011,,10/22/2011,1,,,2/26/2012,No,Yes,1,128,127
Midnight in Paris,2012,5/20/2011,11/17/2011,,,,,10/7/2011,140,,,2/26/2012,No,Yes,140,282,142
Moneyball,2012,9/23/2011,11/15/2011,11/8/2011,,11/15/2011,,12/16/2011,46,,,2/26/2012,No,Yes,84,156,72
Puss in Boots,2012,10/28/2011,12/8/2011,,10/29/2011,,,1/10/2012,1,,,2/26/2012,No,Yes,74,121,47
Rango,2012,3/4/2011,12/7/2011,,3/13/2011,,5/27/2011,6/24/2011,9,84,-194,2/26/2012,Yes,Yes,112,359,247
Real Steel,2012,10/7/2011,,,,,,1/4/2012,89,,,2/26/2012,No,Yes,89,142,53
Rio,2012,4/15/2011,12/5/2011,,4/20/2011,5/6/2011,,6/23/2011,5,,,2/26/2012,No,Yes,69,317,248
Rise of the Planet of the Apes,2012,8/5/2011,12/21/2011,,8/8/2011,10/9/2011,,11/7/2011,3,,,2/26/2012,No,Yes,94,205,111
The Adventures of Tintin,2012,12/21/2011,12/13/2011,11/10/2011,,,,,-41,,,2/26/2012,No,No,,67,108
The Artist,2012,11/23/2011,12/29/2011,,,,1/19/2012,,57,57,21,2/26/2012,Yes,Yes,,95,38
The Descendants,2012,11/28/2011,12/2/2011,,,,1/16/2012,,49,49,45,2/26/2012,Yes,Yes,,90,41
The Girl With the Dragon Tattoo,2012,12/21/2011,12/23/2011,1/15/2012,,,1/23/2012,,25,33,31,2/26/2012,Yes,Yes,,67,34
The Help,2012,8/10/2011,11/18/2011,8/14/2011,,,,11/17/2011,4,,,2/26/2012,No,Yes,99,200,101
The Ides of March,2012,10/7/2011,11/17/2011,,,,12/2/2011,12/17/2011,56,56,15,2/26/2012,Yes,Yes,71,142,71
