Word,Occurrences,Frequency,Rank,Year
you,42,3.5%,1,1983
your,38,3.2%,2,1983
another,26,2.2%,3,1983
metal,18,1.5%,4,1983
our,17,1.4%,5,1983
what,14,1.2%,6,1983
way,12,1Ê%,7,1983
come,12,1Ê%,7,1983
take,12,1Ê%,7,1983
destroy,12,1Ê%,7,1983
seek,12,1Ê%,7,1983
searching,12,1Ê%,7,1983
through,11,0.9%,8,1983
dont,11,0.9%,8,1983
hit,10,0.8%,9,1983
dying,9,0.8%,9,1983
lights,9,0.8%,9,1983
running,9,0.8%,9,1983
now,8,0.7%,10,1983
remorse,8,0.7%,10,1983
militia,8,0.7%,10,1983
like,8,0.7%,10,1983
it,8,0.7%,10,1983
never,8,0.7%,10,1983
fire,7,0.6%,11,1983
death,7,0.6%,11,1983
leather,7,0.6%,11,1983
jump,7,0.6%,11,1983
life,7,0.6%,11,1983
land,6,0.5%,12,1983
sorrow,6,0.5%,12,1983
horsemen,6,0.5%,12,1983
ride,6,0.5%,12,1983
deaths,6,0.5%,12,1983
hiding,6,0.5%,12,1983
meant,6,0.5%,12,1983
breath,6,0.5%,12,1983
night,6,0.5%,12,1983
on,6,0.5%,12,1983
care,6,0.5%,12,1983
motorbreath,6,0.5%,12,1983
thousand,6,0.5%,12,1983
pay,6,0.5%,12,1983
day,6,0.5%,12,1983
away,6,0.5%,12,1983
repent,6,0.5%,12,1983
down,5,0.4%,13,1983
starts,5,0.4%,13,1983
cant,14,2.1%,1,1984
let,14,2.1%,1,1984
me,8,1.2%,2,1984
own,8,1.2%,2,1984
now,7,1Ê%,3,1984
what,7,1Ê%,3,1984
born,6,0.9%,4,1984
just,6,0.9%,4,1984
done,6,0.9%,4,1984
life,6,0.9%,4,1984
time,6,0.9%,4,1984
here,6,0.9%,4,1984
written,6,0.9%,4,1984
first,5,0.7%,5,1984
fight,5,0.7%,5,1984
your,5,0.7%,5,1984
death,5,0.7%,5,1984
hear,5,0.7%,5,1984
take,5,0.7%,5,1984
live,5,0.7%,5,1984
kill,4,0.6%,6,1984
say,4,0.6%,6,1984
you,4,0.6%,6,1984
through,4,0.6%,6,1984
move,4,0.6%,6,1984
see,4,0.6%,6,1984
see,4,0.6%,6,1984
free,4,0.6%,6,1984
die,4,0.6%,6,1984
whom,4,0.6%,6,1984
bell,4,0.6%,6,1984
shall,4,0.6%,6,1984
fire,4,0.6%,6,1984
death,4,0.6%,6,1984
dont,4,0.6%,6,1984
live,4,0.6%,6,1984
tolls,4,0.6%,6,1984
out,3,0.4%,7,1984
ice,3,0.4%,7,1984
lost,3,0.4%,7,1984
under,3,0.4%,7,1984
trapped,3,0.4%,7,1984
pharaoh,3,0.4%,7,1984
sent,3,0.4%,7,1984
things,3,0.4%,7,1984
nothing,3,0.4%,7,1984
away,3,0.4%,7,1984
chosen,3,0.4%,7,1984
one,3,0.4%,7,1984
it,3,0.4%,7,1984
